game,model,experiment,episode,round,predictions,tricks_per_player,points
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,8,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,9,3,6,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,10,4,1,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,11,3,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,12,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,13,5,1,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,14,7,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,2,1,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,3,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,4,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,5,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,6,2,6,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,7,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_0,8,3,3,50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,3,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,4,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,5,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,6,3,3,50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,7,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_2,8,3,7,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,3,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,4,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,5,2,5,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,6,3,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,7,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_3,8,2,6,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,2,1,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,3,1,3,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,4,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,5,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,6,3,3,50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,7,3,7,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_4,8,4,8,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,2,1,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,3,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,4,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,5,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,6,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,7,3,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_1,8,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,3,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,4,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,5,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,6,3,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,7,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,8_short_pos3_easy,episode_5,8,4,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,3,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,4,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,6,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,7,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_0,8,4,2,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,3,1,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,4,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,6,3,3,50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,7,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_2,8,3,0,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,2,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,3,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,4,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,6,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,7,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_3,8,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,3,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,4,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,6,3,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,7,3,0,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_4,8,3,0,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,3,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,4,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,5,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,6,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,7,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_1,8,3,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,3,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,4,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,6,3,0,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,7,3,0,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,7_short_pos2_hard,episode_5,8,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,1,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,2,0,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,3,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,4,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,5,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,6,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,7,4,2,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_0,8,3,6,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,3,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,4,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,5,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,6,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,7,3,6,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_2,8,4,6,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,1,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,2,1,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,3,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,4,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,5,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,6,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,7,4,6,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_3,8,3,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,3,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,4,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,5,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,6,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,7,2,6,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_4,8,3,6,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_1,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_1,2,1,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_1,3,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_1,4,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_1,5,2,5,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,4_short_pos1_easy,episode_1,6,3,3,50
